,job_name,company_name,department_name,url,hit_count,last_hit_time
8880,数据研发,快手,数据中台,https://leetcode.cn/problems/multiply-strings,1,2022-09-08T07:03:34.996000Z
8881,数据研发,快手,数据中台,https://leetcode.cn/problems/simplify-path,1,2022-06-17T11:02:22.683000Z
8882,数据研发,快手,数据中台,https://leetcode.cn/problems/merge-intervals,1,2021-06-19T02:10:21.686000Z
8883,数据研发,快手,数据中台,https://leetcode.cn/problems/maximum-subarray,1,2021-04-28T16:00:00Z
8884,数据研发,快手,音视频,https://leetcode.cn/problems/reverse-linked-list-ii,1,2022-04-27T16:00:00Z
8885,数据研发,快手,海外,https://leetcode.cn/problems/search-in-rotated-sorted-array,1,2022-02-11T06:17:50.695000Z
8886,数据研发,快手,数据,https://leetcode.cn/problems/simplify-path,1,2022-06-17T11:01:01.404000Z
8887,数据研发,腾讯,IEG,https://leetcode.cn/problems/er-wei-shu-zu-zhong-de-cha-zhao-lcof,1,2023-11-20T16:00:00Z
8888,数据研发,腾讯,IEG,https://leetcode.cn/problems/compare-version-numbers,1,2023-08-29T02:03:52.816000Z
8889,数据研发,腾讯,IEG,https://leetcode.cn/problems/reverse-linked-list,1,2022-03-16T02:13:33.427000Z
8890,数据研发,腾讯,IEG,https://leetcode.cn/problems/lru-cache,1,2022-01-15T08:24:06.491000Z
8891,数据研发,腾讯,PCG,https://leetcode.cn/problems/longest-substring-without-repeating-characters,1,2024-04-12T08:11:33.011000Z
8892,数据研发,腾讯,PCG,https://leetcode.cn/problems/merge-two-sorted-lists,1,2022-05-11T08:12:58.727000Z
8893,数据研发,腾讯,PCG,https://leetcode.cn/problems/binary-search,1,2022-05-11T08:12:58.727000Z
8894,数据研发,腾讯,PCG,https://leetcode.cn/problems/sort-an-array,1,2021-04-20T04:00:00Z
8895,数据研发,腾讯,WXG,https://leetcode.cn/problems/subsets,1,2022-03-03T11:50:40.766000Z
8896,数据研发,腾讯,WXG,https://leetcode.cn/problems/two-sum,1,2021-08-16T13:10:15.451000Z
8897,数据研发,腾讯,WXG,https://leetcode.cn/problems/generate-parentheses,1,2021-04-05T16:00:00Z
8898,数据研发,腾讯,CDG-腾讯广告,https://leetcode.cn/problems/kth-largest-element-in-an-array,1,2021-06-18T12:24:29.246000Z
8899,数据研发,腾讯,TEG,https://leetcode.cn/problems/find-all-duplicates-in-an-array,1,2024-03-21T13:16:54.929000Z
8900,数据研发,腾讯,TEG,https://leetcode.cn/problems/intersection-of-two-linked-lists,1,2021-04-02T14:16:50.121000Z
8901,数据研发,腾讯,CDG,https://leetcode.cn/problems/best-time-to-buy-and-sell-stock-iii,1,2022-06-09T16:00:00Z
8902,数据研发,腾讯,PCG-腾讯看点,https://leetcode.cn/problems/maximum-subarray,1,2021-04-10T04:00:00Z
8903,数据研发,腾讯,PCG-腾讯视频,https://leetcode.cn/problems/reverse-linked-list,1,2021-04-09T16:00:00Z
8904,数据研发,腾讯,腾讯音乐,https://leetcode.cn/problems/word-break-ii,1,2023-03-25T10:26:55.469000Z
8905,数据研发,腾讯,腾讯音乐,https://leetcode.cn/problems/word-break,1,2023-03-23T13:24:05.520000Z
8906,数据研发,腾讯,CSIG-腾讯云,https://leetcode.cn/problems/largest-number,1,2024-04-15T04:46:25.053000Z
8907,数据研发,腾讯,S1,https://leetcode.cn/problems/kth-largest-element-in-an-array,1,2021-03-30T16:00:00Z
8908,数据研发,百度,ACG通用技术服务部,https://leetcode.cn/problems/lexicographical-numbers,1,2022-08-16T16:00:00Z
8909,数据研发,百度,搜索架构部,https://leetcode.cn/problems/climbing-stairs,1,2021-07-30T16:00:00Z
8910,数据研发,百度,基础平台研发部,https://leetcode.cn/problems/merge-two-sorted-lists,1,2022-07-20T16:00:00Z
8911,数据研发,百度,度小满金融,https://leetcode.cn/problems/two-sum,1,2024-05-08T05:42:56.123000Z
8912,数据研发,百度,度小满金融,https://leetcode.cn/problems/longest-palindromic-substring,1,2024-05-08T05:42:56.123000Z
8913,数据研发,百度,度小满金融,https://leetcode.cn/problems/two-sum-ii-input-array-is-sorted,1,2022-04-06T10:05:24.256000Z
8914,数据研发,滴滴,橙心优选,https://leetcode.cn/problems/binary-tree-level-order-traversal,1,2021-07-18T16:00:00Z
8915,数据研发,滴滴,橙心优选,https://leetcode.cn/problems/3sum,1,2020-11-30T16:00:00Z
8916,数据研发,滴滴,产品研发部,https://leetcode.cn/problems/reverse-linked-list,1,2023-12-03T16:00:00Z
8917,数据研发,京东,广告部门,https://leetcode.cn/problems/sort-an-array,1,2021-07-22T07:52:49.489000Z
8918,数据研发,京东,广告数据部,https://leetcode.cn/problems/median-of-two-sorted-arrays,1,2021-07-25T07:57:31.240000Z
8919,数据研发,京东,广告数据部,https://leetcode.cn/problems/remove-duplicates-from-sorted-list,1,2021-03-20T04:00:00Z
8920,数据研发,京东,广告数据部,https://leetcode.cn/problems/move-zeroes,1,2021-03-20T04:00:00Z
8921,数据研发,华为,数据存储与机器视觉产品线,https://leetcode.cn/problems/lian-xu-zi-shu-zu-de-zui-da-he-lcof,1,2021-04-24T16:00:00Z
8922,数据研发,华为,消费者云服务,https://leetcode.cn/problems/partition-labels,1,2021-07-22T16:00:00Z
8923,数据研发,华为,华为云,https://leetcode.cn/problems/add-two-numbers,1,2022-07-21T14:38:26.449000Z
8924,数据研发,华为,华为云,https://leetcode.cn/problems/lowest-common-ancestor-of-a-binary-tree,1,2022-03-09T00:00:00Z
8925,数据研发,华为,华为云,https://leetcode.cn/problems/unique-paths-iii,1,2021-08-02T07:36:07.840000Z
8926,数据研发,华为,消费者,https://leetcode.cn/problems/longest-substring-without-repeating-characters,1,2022-09-22T16:00:00Z
8927,数据研发,华为,消费者,https://leetcode.cn/problems/bu-ke-pai-zhong-de-shun-zi-lcof,1,2021-12-28T08:17:32.283000Z
8928,数据研发,华为,消费者,https://leetcode.cn/problems/merge-intervals,1,2021-07-22T16:00:00Z
8929,数据研发,华为,公共开发部,https://leetcode.cn/problems/largest-number,1,2023-04-28T08:46:02.118000Z
8930,数据研发,拼多多,海外,https://leetcode.cn/problems/perfect-rectangle,1,2024-05-24T01:39:33.977000Z
8931,数据研发,网易,网易游戏,https://leetcode.cn/problems/valid-parentheses,1,2021-04-17T16:00:00Z
8932,数据研发,网易,网易游戏,https://leetcode.cn/problems/maximum-subarray,1,2021-04-17T16:00:00Z
8933,数据研发,网易,邮件,https://leetcode.cn/problems/delete-node-in-a-linked-list,1,2021-09-03T07:43:11.625000Z
8934,数据研发,网易,邮件,https://leetcode.cn/problems/binary-tree-preorder-traversal,1,2021-09-01T02:21:13.995000Z
8935,数据研发,小米,自动驾驶服务端,https://leetcode.cn/problems/reverse-linked-list,1,2024-03-07T16:00:00Z
8936,数据研发,小米,汽车,https://leetcode.cn/problems/remove-duplicates-from-sorted-list,1,2022-07-22T13:49:33.243000Z
8937,数据研发,旷视,软件开发,https://leetcode.cn/problems/diagonal-traverse,1,2022-09-09T04:50:07.492000Z
8938,数据研发,虾皮,新加坡,https://leetcode.cn/problems/move-zeroes,3,2021-08-12T16:00:00Z
8939,数据研发,虾皮,新加坡,https://leetcode.cn/problems/reverse-nodes-in-k-group,1,2021-11-14T16:00:00Z
8940,数据研发,虾皮,新加坡,https://leetcode.cn/problems/sort-an-array,1,2020-08-29T04:00:00Z
8941,数据研发,虾皮,深圳,https://leetcode.cn/problems/reverse-words-in-a-string,1,2022-01-11T13:55:13.418000Z
8942,数据研发,虾皮,深圳,https://leetcode.cn/problems/implement-queue-using-stacks,1,2021-08-28T16:00:00Z
8943,数据研发,虾皮,深圳,https://leetcode.cn/problems/min-stack,1,2021-08-02T16:00:00Z
8944,数据研发,虾皮,深圳,https://leetcode.cn/problems/yong-liang-ge-zhan-shi-xian-dui-lie-lcof,1,2021-08-01T02:58:42.056000Z
8945,数据研发,虾皮,北京,https://leetcode.cn/problems/add-strings,1,2021-07-31T16:00:00Z
8946,数据研发,虾皮,北京,https://leetcode.cn/problems/sqrtx,1,2021-07-18T16:00:00Z
8947,数据研发,虾皮,北京,https://leetcode.cn/problems/merge-sorted-array,1,2021-07-14T16:00:00Z
8948,数据研发,虾皮,北京,https://leetcode.cn/problems/reverse-linked-list,1,2021-07-14T16:00:00Z
8949,数据研发,虾皮,上海电商,https://leetcode.cn/problems/find-k-closest-elements,1,2022-01-21T06:02:25.852000Z
8950,数据研发,携程,存储,https://leetcode.cn/problems/longest-palindromic-substring,1,2023-11-22T04:15:01.239000Z
8951,测试,字节跳动,飞书,https://leetcode.cn/problems/longest-substring-without-repeating-characters,6,2023-03-30T08:43:31.138000Z
8952,测试,字节跳动,飞书,https://leetcode.cn/problems/best-time-to-buy-and-sell-stock,3,2022-10-21T08:10:12.883000Z
8953,测试,字节跳动,飞书,https://leetcode.cn/problems/two-sum,3,2022-04-21T11:18:49.863000Z
8954,测试,字节跳动,飞书,https://leetcode.cn/problems/monotone-increasing-digits,2,2022-03-23T16:00:00Z
8955,测试,字节跳动,飞书,https://leetcode.cn/problems/longest-palindromic-substring,2,2022-01-10T16:00:00Z
8956,测试,字节跳动,飞书,https://leetcode.cn/problems/ju-zhen-zhong-de-lu-jing-lcof,1,2022-09-04T16:00:00Z
8957,测试,字节跳动,飞书,https://leetcode.cn/problems/jump-game-ii,1,2022-07-25T08:50:13.868000Z
8958,测试,字节跳动,飞书,https://leetcode.cn/problems/valid-parentheses,1,2022-06-30T13:12:58.760000Z
